기간,Brent
09년05월28일,64.39
09년05월29일,65.52
09년06월01일,67.97
09년06월02일,68.17
09년06월03일,65.88
09년06월04일,68.71
09년06월05일,68.34
09년06월08일,67.88
09년06월09일,69.62
09년06월10일,70.8
09년06월11일,71.79
09년06월12일,70.92
09년06월15일,69.44
09년06월16일,70.24
09년06월17일,70.85
09년06월18일,71.06
09년06월19일,69.19
09년06월22일,66.98
09년06월23일,68.8
09년06월24일,68.33
09년06월25일,69.78
09년06월26일,68.92
09년06월29일,70.99
09년06월30일,69.3
09년07월01일,68.79
09년07월02일,66.65
09년07월03일,65.61
09년07월06일,64.05
09년07월07일,63.23
09년07월08일,60.43
09년07월09일,61.1
09년07월10일,60.52
09년07월13일,60.69
09년07월14일,60.86
09년07월15일,63.09
09년07월16일,62.75
09년07월17일,65.38
09년07월20일,66.44
09년07월21일,66.87
09년07월22일,67.21
09년07월23일,69.25
09년07월24일,70.32
09년07월27일,70.81
09년07월28일,69.88
09년07월29일,66.53
09년07월30일,70.11
09년07월31일,71.7
09년08월03일,73.55
09년08월04일,74.28
09년08월05일,75.51
09년08월06일,74.83
09년08월07일,73.59
09년08월10일,73.5
09년08월11일,72.46
09년08월12일,72.89
09년08월13일,73.48
09년08월14일,72.41
09년08월17일,70.54
09년08월18일,72.37
09년08월19일,74.59
09년08월20일,73.33
09년08월21일,74.19
09년08월24일,74.26
09년08월25일,71.82
09년08월26일,71.65
09년08월27일,72.51
09년08월28일,72.79
09년08월31일,69.65
09년09월01일,67.73
09년09월02일,67.66
09년09월03일,67.12
09년09월04일,66.82
09년09월07일,66.53
09년09월08일,69.42
09년09월09일,69.83
09년09월10일,69.86
09년09월11일,67.69
09년09월14일,67.44
09년09월15일,67.35
09년09월16일,71.67
09년09월17일,71.55
09년09월18일,71.32
09년09월21일,68.69
09년09월22일,70.53
09년09월23일,67.99
09년09월24일,64.82
09년09월25일,65.11
09년09월28일,65.54
09년09월29일,65.49
09년09월30일,69.07
09년10월01일,69.19
09년10월02일,68.07
09년10월05일,68.04
09년10월06일,68.56
09년10월07일,67.2
09년10월08일,69.77
09년10월09일,70
09년10월12일,71.36
09년10월13일,72.4
09년10월14일,73.1
09년10월15일,74.45
09년10월16일,76.99
09년10월19일,77.77
09년10월20일,77.24
09년10월21일,79.69
09년10월22일,79.51
09년10월23일,78.92
09년10월26일,77.26
09년10월27일,77.92
09년10월28일,75.86
09년10월29일,78.04
09년10월30일,75.2
09년11월02일,76.55
09년11월03일,78.11
09년11월04일,78.89
09년11월05일,77.99
09년11월06일,75.87
09년11월09일,77.77
09년11월10일,77.5
09년11월11일,77.95
09년11월12일,76.02
09년11월13일,75.55
09년11월16일,78.76
09년11월17일,78.97
09년11월18일,79.47
09년11월19일,77.64
09년11월20일,77.2
09년11월23일,77.46
09년11월24일,76.46
09년11월25일,78.44
09년11월26일,76.99
09년11월27일,77.18
09년11월30일,78.47
09년12월01일,79.35
09년12월02일,77.88
09년12월03일,78.36
09년12월04일,77.52
09년12월07일,76.43
09년12월08일,75.19
09년12월09일,72.39
09년12월10일,71.86
09년12월11일,71.88
09년12월14일,71.89
09년12월15일,72.05
09년12월16일,73.55
09년12월17일,73.37
09년12월18일,73.75
09년12월21일,72.99
09년12월22일,73.46
